GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,AV0AA,AV0AAM
"G020","2010","Alaska","02","020","Alaska",710231,
"G040","2010","Arizona","04","040","Arizona",6392017,
"G050","2010","Arkansas","05","050","Arkansas",2915918,
"G060","2010","California","06","060","California",37253956,
"G080","2010","Colorado","08","080","Colorado",5029196,
"G090","2010","Connecticut","09","090","Connecticut",3574097,
"G100","2010","Delaware","10","100","Delaware",897934,
"G110","2010","District of Columbia","11","110","District of Columbia",601723,
"G120","2010","Florida","12","120","Florida",18801310,
"G130","2010","Georgia","13","130","Georgia",9687653,
"G150","2010","Hawaii","15","150","Hawaii",1360301,
"G160","2010","Idaho","16","160","Idaho",1567582,
"G170","2010","Illinois","17","170","Illinois",12830632,
"G180","2010","Indiana","18","180","Indiana",6483802,
"G190","2010","Iowa","19","190","Iowa",3046355,
"G200","2010","Kansas","20","200","Kansas",2853118,
"G210","2010","Kentucky","21","210","Kentucky",4339367,
"G220","2010","Louisiana","22","220","Louisiana",4533372,
"G230","2010","Maine","23","230","Maine",1328361,
"G240","2010","Maryland","24","240","Maryland",5773552,
"G250","2010","Massachusetts","25","250","Massachusetts",6547629,
"G260","2010","Michigan","26","260","Michigan",9883640,
"G270","2010","Minnesota","27","270","Minnesota",5303925,
"G280","2010","Mississippi","28","280","Mississippi",2967297,
"G290","2010","Missouri","29","290","Missouri",5988927,
"G300","2010","Montana","30","300","Montana",989415,
"G310","2010","Nebraska","31","310","Nebraska",1826341,
"G320","2010","Nevada","32","320","Nevada",2700551,
"G330","2010","New Hampshire","33","330","New Hampshire",1316470,
"G340","2010","New Jersey","34","340","New Jersey",8791894,
"G350","2010","New Mexico","35","350","New Mexico",2059179,
"G360","2010","New York","36","360","New York",19378102,
"G370","2010","North Carolina","37","370","North Carolina",9535483,
"G380","2010","North Dakota","38","380","North Dakota",672591,
"G390","2010","Ohio","39","390","Ohio",11536504,
"G400","2010","Oklahoma","40","400","Oklahoma",3751351,
"G410","2010","Oregon","41","410","Oregon",3831074,
"G420","2010","Pennsylvania","42","420","Pennsylvania",12702379,
"G440","2010","Rhode Island","44","440","Rhode Island",1052567,
"G450","2010","South Carolina","45","450","South Carolina",4625364,
"G460","2010","South Dakota","46","460","South Dakota",814180,
"G470","2010","Tennessee","47","470","Tennessee",6346105,
"G480","2010","Texas","48","480","Texas",25145561,
"G490","2010","Utah","49","490","Utah",2763885,
"G500","2010","Vermont","50","500","Vermont",625741,
"G510","2010","Virginia","51","510","Virginia",8001024,
"G530","2010","Washington","53","530","Washington",6724540,
"G540","2010","West Virginia","54","540","West Virginia",1852994,
"G550","2010","Wisconsin","55","550","Wisconsin",5686986,
"G560","2010","Wyoming","56","560","Wyoming",563626,
"G720","2010","Puerto Rico","72","720","Puerto Rico",3725789,
"G010","2006-2010","Alabama","01","010","Alabama",4712651,0
"G020","2006-2010","Alaska","02","020","Alaska",691189,0
"G040","2006-2010","Arizona","04","040","Arizona",6246816,0
"G050","2006-2010","Arkansas","05","050","Arkansas",2872684,0
"G060","2006-2010","California","06","060","California",36637290,0
"G080","2006-2010","Colorado","08","080","Colorado",4887061,0
"G090","2006-2010","Connecticut","09","090","Connecticut",3545837,0
"G100","2006-2010","Delaware","10","100","Delaware",881278,0
"G110","2006-2010","District of Columbia","11","110","District of Columbia",584400,0
"G120","2006-2010","Florida","12","120","Florida",18511620,0
"G130","2006-2010","Georgia","13","130","Georgia",9468815,0
"G150","2006-2010","Hawaii","15","150","Hawaii",1333591,0
"G160","2006-2010","Idaho","16","160","Idaho",1526797,0
"G170","2006-2010","Illinois","17","170","Illinois",12745359,0
"G180","2006-2010","Indiana","18","180","Indiana",6417398,0
"G190","2006-2010","Iowa","19","190","Iowa",3016267,0
"G200","2006-2010","Kansas","20","200","Kansas",2809329,0
"G210","2006-2010","Kentucky","21","210","Kentucky",4285828,0
"G220","2006-2010","Louisiana","22","220","Louisiana",4429940,0
"G230","2006-2010","Maine","23","230","Maine",1327665,0
"G240","2006-2010","Maryland","24","240","Maryland",5696423,0
"G250","2006-2010","Massachusetts","25","250","Massachusetts",6477096,0
"G260","2006-2010","Michigan","26","260","Michigan",9952687,0
"G270","2006-2010","Minnesota","27","270","Minnesota",5241914,0
"G280","2006-2010","Mississippi","28","280","Mississippi",2941991,0
"G290","2006-2010","Missouri","29","290","Missouri",5922314,0
"G300","2006-2010","Montana","30","300","Montana",973739,0
"G310","2006-2010","Nebraska","31","310","Nebraska",1799125,0
"G320","2006-2010","Nevada","32","320","Nevada",2633331,0
"G330","2006-2010","New Hampshire","33","330","New Hampshire",1313939,0
"G340","2006-2010","New Jersey","34","340","New Jersey",8721577,0
"G350","2006-2010","New Mexico","35","350","New Mexico",2013122,0
"G360","2006-2010","New York","36","360","New York",19229752,0
"G370","2006-2010","North Carolina","37","370","North Carolina",9271178,0
"G380","2006-2010","North Dakota","38","380","North Dakota",659858,0
"G390","2006-2010","Ohio","39","390","Ohio",11512431,0
"G400","2006-2010","Oklahoma","40","400","Oklahoma",3675339,0
"G410","2006-2010","Oregon","41","410","Oregon",3761925,0
"G420","2006-2010","Pennsylvania","42","420","Pennsylvania",12612705,0
"G440","2006-2010","Rhode Island","44","440","Rhode Island",1056389,0
"G450","2006-2010","South Carolina","45","450","South Carolina",4511428,0
"G460","2006-2010","South Dakota","46","460","South Dakota",799462,0
"G470","2006-2010","Tennessee","47","470","Tennessee",6234968,0
"G480","2006-2010","Texas","48","480","Texas",24311891,0
"G490","2006-2010","Utah","49","490","Utah",2657236,0
"G500","2006-2010","Vermont","50","500","Vermont",624258,0
"G510","2006-2010","Virginia","51","510","Virginia",7841754,0
"G530","2006-2010","Washington","53","530","Washington",6561297,0
"G540","2006-2010","West Virginia","54","540","West Virginia",1840802,0
"G550","2006-2010","Wisconsin","55","550","Wisconsin",5637947,0
"G560","2006-2010","Wyoming","56","560","Wyoming",545579,0
"G720","2006-2010","Puerto Rico","72","720","Puerto Rico",3762322,0
"G010","2007-2011","Alabama","01","010","Alabama",4747424,0
"G020","2007-2011","Alaska","02","020","Alaska",700703,0
"G040","2007-2011","Arizona","04","040","Arizona",6337373,0
"G050","2007-2011","Arkansas","05","050","Arkansas",2895928,0
"G060","2007-2011","California","06","060","California",36969200,0
"G080","2007-2011","Colorado","08","080","Colorado",4966061,0
"G090","2007-2011","Connecticut","09","090","Connecticut",3558172,0
"G100","2007-2011","Delaware","10","100","Delaware",890856,0
"G110","2007-2011","District of Columbia","11","110","District of Columbia",593955,0
"G120","2007-2011","Florida","12","120","Florida",18688787,0
"G130","2007-2011","Georgia","13","130","Georgia",9600612,0
"G150","2007-2011","Hawaii","15","150","Hawaii",1346554,0
"G160","2007-2011","Idaho","16","160","Idaho",1549987,0
"G170","2007-2011","Illinois","17","170","Illinois",12790182,0
"G180","2007-2011","Indiana","18","180","Indiana",6454254,0
"G190","2007-2011","Iowa","19","190","Iowa",3032266,0
"G200","2007-2011","Kansas","20","200","Kansas",2830985,0
"G210","2007-2011","Kentucky","21","210","Kentucky",4316040,0
"G220","2007-2011","Louisiana","22","220","Louisiana",4484596,0
"G230","2007-2011","Maine","23","230","Maine",1328543,0
"G240","2007-2011","Maryland","24","240","Maryland",5736545,0
"G250","2007-2011","Massachusetts","25","250","Massachusetts",6512227,0
"G260","2007-2011","Michigan","26","260","Michigan",9920621,0
"G270","2007-2011","Minnesota","27","270","Minnesota",5278190,0
"G280","2007-2011","Mississippi","28","280","Mississippi",2956700,0
"G290","2007-2011","Missouri","29","290","Missouri",5955802,0
"G300","2007-2011","Montana","30","300","Montana",982854,0
"G310","2007-2011","Nebraska","31","310","Nebraska",1813061,0
"G320","2007-2011","Nevada","32","320","Nevada",2673396,0
"G330","2007-2011","New Hampshire","33","330","New Hampshire",1315911,0
"G340","2007-2011","New Jersey","34","340","New Jersey",8753064,0
"G350","2007-2011","New Mexico","35","350","New Mexico",2037136,0
"G360","2007-2011","New York","36","360","New York",19302448,0
"G370","2007-2011","North Carolina","37","370","North Carolina",9418736,0
"G380","2007-2011","North Dakota","38","380","North Dakota",666783,0
"G390","2007-2011","Ohio","39","390","Ohio",11525536,0
"G400","2007-2011","Oklahoma","40","400","Oklahoma",3714520,0
"G410","2007-2011","Oregon","41","410","Oregon",3801991,0
"G420","2007-2011","Pennsylvania","42","420","Pennsylvania",12660739,0
"G440","2007-2011","Rhode Island","44","440","Rhode Island",1053959,0
"G450","2007-2011","South Carolina","45","450","South Carolina",4575864,0
"G460","2007-2011","South Dakota","46","460","South Dakota",807697,0
"G470","2007-2011","Tennessee","47","470","Tennessee",6297991,0
"G480","2007-2011","Texas","48","480","Texas",24774187,0
"G490","2007-2011","Utah","49","490","Utah",2715379,0
"G500","2007-2011","Vermont","50","500","Vermont",624958,0
"G510","2007-2011","Virginia","51","510","Virginia",7926192,0
"G530","2007-2011","Washington","53","530","Washington",6652845,0
"G540","2007-2011","West Virginia","54","540","West Virginia",1846372,0
"G550","2007-2011","Wisconsin","55","550","Wisconsin",5664893,0
"G560","2007-2011","Wyoming","56","560","Wyoming",554697,0
"G720","2007-2011","Puerto Rico","72","720","Puerto Rico",3742586,0
"G010","2008-2012","Alabama","01","010","Alabama",4777326,0
"G020","2008-2012","Alaska","02","020","Alaska",711139,0
"G040","2008-2012","Arizona","04","040","Arizona",6410979,0
"G050","2008-2012","Arkansas","05","050","Arkansas",2916372,0
"G060","2008-2012","California","06","060","California",37325068,0
"G080","2008-2012","Colorado","08","080","Colorado",5042853,0
"G090","2008-2012","Connecticut","09","090","Connecticut",3572213,0
"G100","2008-2012","Delaware","10","100","Delaware",900131,0
"G110","2008-2012","District of Columbia","11","110","District of Columbia",605759,0
"G120","2008-2012","Florida","12","120","Florida",18885152,0
"G130","2008-2012","Georgia","13","130","Georgia",9714569,0
"G150","2008-2012","Hawaii","15","150","Hawaii",1362730,0
"G160","2008-2012","Idaho","16","160","Idaho",1567803,0
"G170","2008-2012","Illinois","17","170","Illinois",12823860,0
"G180","2008-2012","Indiana","18","180","Indiana",6485530,0
"G190","2008-2012","Iowa","19","190","Iowa",3047646,0
"G200","2008-2012","Kansas","20","200","Kansas",2851183,0
"G210","2008-2012","Kentucky","21","210","Kentucky",4340167,0
"G220","2008-2012","Louisiana","22","220","Louisiana",4529605,0
"G230","2008-2012","Maine","23","230","Maine",1329084,0
"G240","2008-2012","Maryland","24","240","Maryland",5785496,0
"G250","2008-2012","Massachusetts","25","250","Massachusetts",6560595,0
"G260","2008-2012","Michigan","26","260","Michigan",9897264,0
"G270","2008-2012","Minnesota","27","270","Minnesota",5313081,0
"G280","2008-2012","Mississippi","28","280","Mississippi",2967620,0
"G290","2008-2012","Missouri","29","290","Missouri",5982413,0
"G300","2008-2012","Montana","30","300","Montana",990785,0
"G310","2008-2012","Nebraska","31","310","Nebraska",1827306,0
"G320","2008-2012","Nevada","32","320","Nevada",2704204,0
"G330","2008-2012","New Hampshire","33","330","New Hampshire",1317474,0
"G340","2008-2012","New Jersey","34","340","New Jersey",8793888,0
"G350","2008-2012","New Mexico","35","350","New Mexico",2055287,0
"G360","2008-2012","New York","36","360","New York",19398125,0
"G370","2008-2012","North Carolina","37","370","North Carolina",9544249,0
"G380","2008-2012","North Dakota","38","380","North Dakota",676253,0
"G390","2008-2012","Ohio","39","390","Ohio",11533561,0
"G400","2008-2012","Oklahoma","40","400","Oklahoma",3749005,0
"G410","2008-2012","Oregon","41","410","Oregon",3836628,0
"G420","2008-2012","Pennsylvania","42","420","Pennsylvania",12699589,0
"G440","2008-2012","Rhode Island","44","440","Rhode Island",1052471,0
"G450","2008-2012","South Carolina","45","450","South Carolina",4630351,0
"G460","2008-2012","South Dakota","46","460","South Dakota",815871,0
"G470","2008-2012","Tennessee","47","470","Tennessee",6353226,0
"G480","2008-2012","Texas","48","480","Texas",25208897,0
"G490","2008-2012","Utah","49","490","Utah",2766233,0
"G500","2008-2012","Vermont","50","500","Vermont",625498,0
"G510","2008-2012","Virginia","51","510","Virginia",8014955,0
"G530","2008-2012","Washington","53","530","Washington",6738714,0
"G540","2008-2012","West Virginia","54","540","West Virginia",1850481,0
"G550","2008-2012","Wisconsin","55","550","Wisconsin",5687219,0
"G560","2008-2012","Wyoming","56","560","Wyoming",562803,0
"G720","2008-2012","Puerto Rico","72","720","Puerto Rico",3716727,0
"G010","2009-2013","Alabama","01","010","Alabama",4799277,0
"G020","2009-2013","Alaska","02","020","Alaska",720316,0
"G040","2009-2013","Arizona","04","040","Arizona",6479703,0
"G050","2009-2013","Arkansas","05","050","Arkansas",2933369,0
"G060","2009-2013","California","06","060","California",37659181,0
"G080","2009-2013","Colorado","08","080","Colorado",5119329,0
"G090","2009-2013","Connecticut","09","090","Connecticut",3583561,0
"G100","2009-2013","Delaware","10","100","Delaware",908446,0
"G110","2009-2013","District of Columbia","11","110","District of Columbia",619371,0
"G120","2009-2013","Florida","12","120","Florida",19091156,0
"G130","2009-2013","Georgia","13","130","Georgia",9810417,0
"G150","2009-2013","Hawaii","15","150","Hawaii",1376298,0
"G160","2009-2013","Idaho","16","160","Idaho",1583364,0
"G170","2009-2013","Illinois","17","170","Illinois",12848554,0
"G180","2009-2013","Indiana","18","180","Indiana",6514861,0
"G190","2009-2013","Iowa","19","190","Iowa",3062553,0
"G200","2009-2013","Kansas","20","200","Kansas",2868107,0
"G210","2009-2013","Kentucky","21","210","Kentucky",4361333,0
"G220","2009-2013","Louisiana","22","220","Louisiana",4567968,0
"G230","2009-2013","Maine","23","230","Maine",1328320,0
"G240","2009-2013","Maryland","24","240","Maryland",5834299,0
"G250","2009-2013","Massachusetts","25","250","Massachusetts",6605058,0
"G260","2009-2013","Michigan","26","260","Michigan",9886095,0
"G270","2009-2013","Minnesota","27","270","Minnesota",5347740,0
"G280","2009-2013","Mississippi","28","280","Mississippi",2976872,0
"G290","2009-2013","Missouri","29","290","Missouri",6007182,0
"G300","2009-2013","Montana","30","300","Montana",998554,0
"G310","2009-2013","Nebraska","31","310","Nebraska",1841625,0
"G320","2009-2013","Nevada","32","320","Nevada",2730066,0
"G330","2009-2013","New Hampshire","33","330","New Hampshire",1319171,0
"G340","2009-2013","New Jersey","34","340","New Jersey",8832406,0
"G350","2009-2013","New Mexico","35","350","New Mexico",2069706,0
"G360","2009-2013","New York","36","360","New York",19487053,0
"G370","2009-2013","North Carolina","37","370","North Carolina",9651380,0
"G380","2009-2013","North Dakota","38","380","North Dakota",689781,0
"G390","2009-2013","Ohio","39","390","Ohio",11549590,0
"G400","2009-2013","Oklahoma","40","400","Oklahoma",3785742,0
"G410","2009-2013","Oregon","41","410","Oregon",3868721,0
"G420","2009-2013","Pennsylvania","42","420","Pennsylvania",12731381,0
"G440","2009-2013","Rhode Island","44","440","Rhode Island",1051695,0
"G450","2009-2013","South Carolina","45","450","South Carolina",4679602,0
"G460","2009-2013","South Dakota","46","460","South Dakota",825198,0
"G470","2009-2013","Tennessee","47","470","Tennessee",6402387,0
"G480","2009-2013","Texas","48","480","Texas",25639373,0
"G490","2009-2013","Utah","49","490","Utah",2813673,0
"G500","2009-2013","Vermont","50","500","Vermont",625904,0
"G510","2009-2013","Virginia","51","510","Virginia",8100653,0
"G530","2009-2013","Washington","53","530","Washington",6819579,0
"G540","2009-2013","West Virginia","54","540","West Virginia",1853619,0
"G550","2009-2013","Wisconsin","55","550","Wisconsin",5706871,0
