GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "39007","Ashtabula, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",97679,98623,100668,100833,100439,101120,102009,101153,101552,102492,103770,104019,102998,102945,101955,101387,100761,100195,99864,99929,99664,99992,100255,100657,101092,101479,101821,102128,102703,102836,102796,102705,102450,102577,102667,102648,102638,102340,102156,101826,101584,101411,101100,100274,99779,99064,98443,98172,97773,97536,97088,96513
 "39007","Ashtabula, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3453,3603,3826,4052,4558,5054,5265,5868,6448,7183,7900,8563,9456,9775,10281,11401,11965,12536,12833,13400,14169,15093,15292,16199,16860,17856,18495,19362,20441,21173,21690,22547,23417,23947,24782,25612,26298,27073,28180,29433,28813,29841,31694,32157,32687,34428,35465,35865,37028,38923,40039,43597
 "39009","Athens, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",133399,144481,161225,173327,191940,212056,233030,258133,284356,312702,348935,388759,421269,456267,483669,524023,553528,581024,622087,657193,708951,749647,789071,829246,869297,925005,937677,1000636,1057032,1099515,1112606,1149662,1249344,1304902,1354353,1371247,1415032,1462565,1542628,1627247,1701185,1802328,1872751,1903824,1904584,1969918,2071624,2098902,2175124,2193606,2255156,2399342
 "39009","Athens, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",49183,55971,57227,57468,56143,53964,52288,51503,53959,55066,55153,56479,56674,57432,57704,57695,58208,58343,59343,59046,59612,59511,59728,59739,60240,60377,60881,61205,61172,61417,61856,62324,62997,63401,63827,63230,64075,64237,64102,64546,64618,65175,65092,64633,64628,64833,65949,66402,66587,65673,65582,65481
 "39009","Athens, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2712,2581,2817,3016,3419,3930,4457,5012,5270,5679,6327,6883,7433,7944,8382,9083,9509,9959,10483,11130,11893,12597,13211,13881,14431,15320,15402,16349,17280,17902,17987,18447,19832,20582,21219,21687,22084,22768,24065,25211,26327,27654,28771,29456,29470,30384,31413,31609,32666,33402,34387,36642
 "39011","Auglaize, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",143354,147107,154560,169727,197496,214391,227288,247799,281645,311676,351261,388606,417573,437010,462223,520767,561601,595659,629247,688144,752707,787744,803133,874334,890339,950724,1011842,1054325,1131551,1189101,1224469,1303868,1296869,1292539,1350711,1406871,1425194,1471267,1559003,1624650,1562151,1639314,1770794,1853677,1871550,1966788,1992441,2060417,2172102,2228571,2245153,2390416
 "39011","Auglaize, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",38277,38704,39244,39505,40377,40859,42495,41349,41514,42048,42468,42665,43013,42899,42808,43192,43394,43595,43914,44380,44501,44684,45257,45793,46106,46262,46454,46682,46583,46671,46663,46186,46137,45943,45872,45932,46166,46034,45977,46167,45996,45914,45758,45787,45820,45756,45754,45772,45756,45728,45610,45680
 "39011","Auglaize, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3745,3801,3938,4296,4891,5247,5349,5993,6784,7412,8271,9108,9708,10187,10798,12057,12942,13663,14329,15506,16914,17629,17746,19093,19311,20551,21782,22585,24291,25478,26241,28231,28109,28134,29445,30629,30871,31960,33908,35191,33963,35704,38699,40485,40846,42984,43547,45015,47471,48735,49225,52330
 "39013","Belmont, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",248409,271315,292571,320187,351270,382823,429156,479768,526002,574099,649333,711868,768208,804914,816212,857835,870456,886319,909876,922500,977549,1024829,1057321,1122018,1134653,1185547,1214620,1296424,1364119,1469946,1494408,1536885,1638703,1691134,1741478,1758102,1805993,1879231,1980851,2113104,2101459,2152689,2270576,2332458,2385511,2510242,2579448,2527769,2703267,2891103,2795385,2858399
 "39013","Belmont, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",80453,81375,83416,83116,82688,82288,82905,83242,82571,82262,83377,82464,81859,81403,80575,79285,77482,75517,74336,73157,72239,70857,70697,70706,70620,70336,70049,71653,71339,71363,70587,70172,69901,70293,70219,70241,70203,70469,70430,70356,70439,70337,70132,69728,69593,69403,69018,68642,68074,67492,66979,65932
 "39013","Belmont, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3088,3334,3507,3852,4248,4652,5176,5764,6370,6979,7788,8632,9385,9888,10130,10820,11234,11737,12240,12610,13532,14463,14956,15869,16067,16855,17340,18093,19122,20598,21171,21902,23443,24058,24801,25030,25725,26667,28125,30034,29834,30605,32376,33451,34278,36169,37374,36825,39711,42836,41735,43354
