GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "26007","Alpena, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3133,3289,3537,3917,4270,4738,5243,5745,6290,7130,7725,8315,8723,9084,9864,10792,11420,12144,12658,13809,14773,15484,15932,16759,17481,18760,19421,20110,21418,22538,23399,24813,25054,25366,26136,26618,27684,28192,29549,31454,30876,32203,33406,34012,34340,35264,37429,38244,39421,40050,41212,45685
 "26009","Antrim, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",38549,40821,45210,52062,59360,67733,73769,82684,95947,110749,124731,136455,147914,152702,158860,174105,192678,203491,213396,221426,253443,273413,282844,301072,326716,359563,405037,441883,478348,524105,566874,588326,608018,605360,619771,635955,665371,685102,719026,749890,733626,765165,806326,847998,885146,936112,991217,1010810,1046437,1080760,1131316,1230842
 "26009","Antrim, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",11562,12757,13292,13595,14103,14905,15310,15542,15782,16082,16430,16277,16572,16668,16720,16837,16964,17062,17232,17707,17910,18258,18650,18945,19480,19843,20468,20986,21423,21992,22556,23264,23485,23773,24129,24263,24261,24278,24248,24047,23796,23492,23324,23251,23128,23147,23036,23090,23267,23339,23359,23449
 "26009","Antrim, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3334,3200,3401,3829,4209,4544,4818,5320,6080,6887,7592,8383,8926,9161,9501,10341,11358,11927,12384,12505,14151,14975,15166,15892,16772,18120,19789,21056,22329,23832,25132,25289,25890,25464,25686,26211,27426,28219,29653,31184,30830,32571,34571,36471,38272,40442,43029,43777,44975,46307,48432,52490
 "26011","Arenac, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",34405,36940,40990,46113,53316,60405,65185,72787,84832,94115,104769,115506,123530,129911,137966,150317,160553,169323,177912,184596,203600,210605,219827,229345,243130,258441,277768,291722,313123,327941,346474,368534,361753,365689,375068,381281,387742,392004,412106,446062,438531,450882,464549,476543,479434,494741,510012,529210,536700,561226,577417,649943
 "26011","Arenac, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",10657,11249,11667,12102,12525,12874,13339,13499,13868,14002,14491,14753,14913,14894,14892,14781,14536,14589,14705,14856,14933,14935,15425,15699,15901,16107,16439,16647,16780,16895,17070,17278,17206,17245,17184,17128,17094,16968,16811,16547,16243,15852,15635,15500,15411,15317,15304,15126,15009,15033,14944,14953
 "26011","Arenac, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3228,3284,3513,3810,4257,4692,4887,5392,6117,6722,7230,7829,8283,8722,9264,10170,11045,11606,12099,12426,13634,14101,14251,14609,15290,16045,16897,17524,18660,19411,20297,21330,21025,21206,21827,22261,22683,23103,24514,26957,26998,28443,29712,30745,31110,32300,33325,34987,35759,37333,38639,43466
 "26013","Baraga, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20998,24793,26809,29802,31014,33976,38273,42133,46331,53065,57928,62230,66853,67475,69270,74868,78195,82761,87534,89845,98641,101563,110355,114046,121905,130946,141489,149599,160753,167607,176471,177611,180524,179996,187298,195367,198737,210641,218179,235341,232097,238349,240986,257511,259551,260399,264774,265225,266371,269327,282589,316352
 "26013","Baraga, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",7741,7764,7731,7760,7975,7955,8140,8204,8438,8629,8671,8501,8553,8474,8363,8247,8196,8130,8087,8062,7935,7970,8033,7899,7873,8491,8517,8486,8488,8658,8744,8875,8899,8889,8873,8884,8851,8940,8930,8822,8874,8861,8835,8725,8716,8649,8583,8532,8433,8313,8245,8164
 "26013","Baraga, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2713,3193,3468,3840,3889,4271,4702,5136,5491,6150,6681,7320,7816,7963,8283,9078,9541,10180,10824,11144,12431,12743,13738,14438,15484,15422,16613,17629,18939,19359,20182,20013,20286,20249,21109,21991,22454,23562,24432,26677,26155,26899,27276,29514,29779,30107,30849,31086,31587,32398,34274,38750
